时间戳,PID,读取字节,写入字节,读取IO操作,写入IO操作
2025-09-12 15:28:57,3782833,0,0,456,568
2025-09-12 15:28:58,3782833,0,0,36997,69765
2025-09-12 15:28:59,3782833,0,0,38504,72911
2025-09-12 15:29:00,3782833,0,0,37121,69975
2025-09-12 15:29:01,3782833,0,0,44129,82979
2025-09-12 15:29:02,3782833,0,0,45231,69751
2025-09-12 15:29:03,3782833,0,0,100771,63158
2025-09-12 15:29:04,3782833,0,0,101896,63658
2025-09-12 15:29:05,3782833,0,0,90599,63421
2025-09-12 15:29:06,3782833,0,0,99832,66908
2025-09-12 15:29:07,3782833,0,0,100550,63897
2025-09-12 15:29:08,3782833,0,0,98400,63507
2025-09-12 15:29:09,3782833,0,0,98909,63414
2025-09-12 15:29:10,3782833,0,0,101986,65099
2025-09-12 15:29:11,3782833,0,0,105605,65982
2025-09-12 15:29:12,3782833,0,0,103139,64968
2025-09-12 15:29:13,3782833,0,0,93123,63738
2025-09-12 15:29:14,3782833,0,0,110499,68380
2025-09-12 15:29:15,3782833,0,0,106094,66096
2025-09-12 15:29:16,3782833,0,0,106567,66131
2025-09-12 15:29:17,3782833,0,0,101656,68202
2025-09-12 15:29:18,3782833,0,0,103976,62575
2025-09-12 15:29:19,3782833,0,0,116884,67662
2025-09-12 15:29:20,3782833,0,0,104518,63259
2025-09-12 15:29:21,3782833,0,0,107153,64906
2025-09-12 15:29:22,3782833,0,0,94528,63963
2025-09-12 15:29:23,3782833,0,0,106330,64630
2025-09-12 15:29:24,3782833,0,0,106850,65000
2025-09-12 15:29:25,3782833,0,0,111087,65374
2025-09-12 15:29:26,3782833,0,0,106724,66823
2025-09-12 15:29:27,3782833,0,0,97929,65455
2025-09-12 15:29:28,3782833,0,0,113970,64198
2025-09-12 15:29:29,3782833,0,0,106358,65919
2025-09-12 15:29:30,3782833,0,0,100818,64429
2025-09-12 15:29:31,3782833,0,0,113363,68753
2025-09-12 15:29:32,3782833,0,0,109475,63415
2025-09-12 15:29:34,3782833,0,0,104574,62956
2025-09-12 15:29:35,3782833,0,0,103216,64039
2025-09-12 15:29:36,3782833,0,0,122987,69545
2025-09-12 15:29:37,3782833,0,0,103030,65863
2025-09-12 15:29:38,3782833,0,0,114769,65458
2025-09-12 15:29:39,3782833,0,0,105968,65459
2025-09-12 15:29:40,3782833,0,0,108003,66519
2025-09-12 15:29:41,3782833,0,0,104232,62539
2025-09-12 15:29:42,3782833,0,0,103794,63436
2025-09-12 15:29:43,3782833,0,0,115349,63203
2025-09-12 15:29:44,3782833,0,0,105724,67143
2025-09-12 15:29:45,3782833,0,0,115533,64491
2025-09-12 15:29:46,3782833,0,0,105848,64742
2025-09-12 15:29:47,3782833,0,0,105176,63288
2025-09-12 15:29:48,3782833,0,0,100083,65389
2025-09-12 15:29:49,3782833,0,0,105192,63021
2025-09-12 15:29:50,3782833,0,0,104490,63999
